case_number,date,block,latitude,longitude,ward,fatal
JK100062,2025-12-31 23:00:00,5100 S DAMEN AVE,41.80111834585807,-87.67391465387966,16.0,False
JJ540043,2025-12-31 11:10:00,1100 S MOZART ST,41.86659165414193,-87.69684465387967,28.0,False
JJ540037,2025-12-31 10:47:00,1600 E 79TH ST,41.75122165414193,-87.58353534612034,8.0,False
JJ539184,2025-12-30 14:37:00,900 W 85TH ST,41.73927690414193,-87.64623094130077,17.0,True
JJ539095,2025-12-30 13:15:00,700 N SPAULDING AVE,41.8944305,-87.70913,27.0,False
JJ539095,2025-12-30 13:15:00,700 N SPAULDING AVE,41.8944305,-87.70913,27.0,True
JJ540052,2025-12-30 05:00:00,8200 S INGLESIDE AVE,41.74493834585807,-87.60078465387966,8.0,False
JJ538720,2025-12-30 03:14:00,4100 S ELLIS AVE,41.81984966894669,-87.60200854747082,4.0,False
JJ538623,2025-12-29 22:00:00,1600 E 55TH ST,41.79514566414193,-87.58388506387966,5.0,False
JJ537573,2025-12-28 22:38:00,200 N PEORIA ST,41.88595165414193,-87.64924465387966,27.0,False
JJ537560,2025-12-28 21:59:00,10300 S TORRENCE AVE,41.70715966894669,-87.55935854747082,10.0,False
JJ537300,2025-12-28 16:11:00,1200 W 78TH PL,41.75208966894669,-87.65411854747082,17.0,False
JJ537300,2025-12-28 16:11:00,1200 W 78TH PL,41.75208966894669,-87.65411854747082,17.0,False
JJ537300,2025-12-28 16:11:00,1200 W 78TH PL,41.75208966894669,-87.65411854747082,17.0,False
JJ536795,2025-12-28 02:33:00,400 N LA SALLE DR,41.8896605,-87.6327,42.0,False
JJ536795,2025-12-28 02:33:00,400 N LA SALLE DR,41.8896605,-87.6327,42.0,False
JJ536795,2025-12-28 02:33:00,400 N LA SALLE DR,41.8896605,-87.6327,42.0,False
JJ536795,2025-12-28 02:33:00,400 N LA SALLE DR,41.8896605,-87.6327,42.0,True
JJ536526,2025-12-27 18:03:00,2900 E 97TH ST,41.71870690414193,-87.55304905869923,10.0,False
JJ536315,2025-12-27 15:21:00,0 N LECLAIRE AVE,41.8804005,-87.7525,28.0,False
JJ536302,2025-12-27 14:57:00,8900 S LOOMIS ST,41.73163834585807,-87.65778465387966,21.0,False
JJ536302,2025-12-27 14:57:00,8900 S LOOMIS ST,41.73163834585807,-87.65778465387966,21.0,False
JJ535884,2025-12-27 03:59:00,5200 N SHERIDAN RD,41.97608690414193,-87.65457094130076,48.0,True
JJ535788,2025-12-26 23:50:00,500 S PULASKI RD,41.87399834585807,-87.72600534612035,24.0,False
JJ535744,2025-12-26 22:40:00,6800 S KOSTNER AVE,41.76762950442593,-87.73227094140677,23.0,False
JJ535721,2025-12-26 22:21:00,400 E 72ND ST,41.76451309585807,-87.61347094130078,6.0,True
JJ535495,2025-12-26 17:20:00,8000 S HARVARD AVE,41.7479405,-87.63289,6.0,True
JJ534815,2025-12-26 03:10:00,1300 E 63RD ST,41.7800605,-87.59239,20.0,False
JJ534835,2025-12-26 03:00:00,5600 S MARYLAND AVE,41.7909705,-87.60509,5.0,False
JJ534787,2025-12-26 02:00:00,7300 S STEWART AVE,41.76059165414193,-87.63513534612034,6.0,False
JJ534767,2025-12-26 00:48:00,5700 N ROCKWELL ST,41.98606165414193,-87.69468534612034,40.0,False
JJ534760,2025-12-26 00:29:00,2900 E 91ST ST,41.73052966894669,-87.55234854747083,10.0,False
JJ534720,2025-12-25 23:02:00,300 W MARQUETTE RD,41.77311966894668,-87.63386854747083,6.0,False
JJ534708,2025-12-25 22:10:00,7400 S COTTAGE GROVE AVE,41.76041834585807,-87.60572534612034,6.0,True
JJ533043,2025-12-24 00:22:00,7000 S HALSTED ST,41.76520165414193,-87.64383465387967,6.0,False
JJ533043,2025-12-24 00:22:00,7000 S HALSTED ST,41.76520165414193,-87.64383465387967,6.0,False
JJ533043,2025-12-24 00:22:00,7000 S HALSTED ST,41.76520165414193,-87.64383465387967,6.0,False
JJ533043,2025-12-24 00:22:00,7000 S HALSTED ST,41.76520165414193,-87.64383465387967,6.0,True
JJ532090,2025-12-23 10:10:00,2400 E 106TH ST,41.70322966894668,-87.56384854747083,10.0,False
JJ532081,2025-12-23 09:56:00,4300 S ARCHER AVE,41.81471309585807,-87.70354094130077,12.0,False
JJ531908,2025-12-23 06:23:00,1600 E 95TH ST,41.72244834585807,-87.58345534612035,8.0,True
JJ531804,2025-12-23 01:18:00,100 N WELLS ST,41.88478690414193,-87.63350094130077,42.0,False
JJ531804,2025-12-23 01:18:00,100 N WELLS ST,41.88478690414193,-87.63350094130077,42.0,True
JJ531703,2025-12-22 22:00:00,2800 S PULASKI RD,41.83877165414193,-87.72382465387966,22.0,False
JJ530412,2025-12-21 19:10:00,3800 W WEST END AVE,41.88327834585807,-87.72194465387966,28.0,True
JJ530427,2025-12-21 18:20:00,700 E 111TH ST,41.69253641414193,-87.60485854612034,9.0,False
JJ530306,2025-12-21 17:43:00,100 S HAMLIN BLVD,41.87921690414193,-87.72082905869924,28.0,False
JJ530069,2025-12-21 13:30:00,9200 S LUELLA AVE,41.72819309585807,-87.56952905869923,7.0,True
JJ529478,2025-12-20 22:55:00,2900 W ROOSEVELT RD,41.86677834585807,-87.69923534612035,28.0,False
JJ529316,2025-12-20 17:39:00,2800 W VAN BUREN ST,41.87558690414193,-87.69689905869923,27.0,False
JJ528680,2025-12-20 08:21:00,2200 E 103RD ST,41.70851058894669,-87.56836626747082,7.0,True
JJ528590,2025-12-20 02:00:00,5500 S KOSTNER AVE,41.79350966894668,-87.73295854747082,23.0,False
JJ528506,2025-12-20 00:57:00,3300 W 63RD ST,41.77853690414193,-87.70660905869923,14.0,False
JJ528507,2025-12-20 00:26:00,8100 S STEWART AVE,41.74562165414193,-87.63445534612035,6.0,False
JJ528507,2025-12-20 00:26:00,8100 S STEWART AVE,41.74562165414193,-87.63445534612035,6.0,False
JJ528507,2025-12-20 00:26:00,8100 S STEWART AVE,41.74562165414193,-87.63445534612035,6.0,False
